"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"3674907853","","","","","2009-08-31 22:17:46 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","This describes me. http://flic.kr/p/ow77R"
"3671856130","","","","","2009-08-31 19:26:35 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","My first 20k is less than 5 days away. Good thing there is only 1720 feet of elevation gain. 1800 feet gained and I'd be worried."
"3661749982","3661542351","61069746","","","2009-08-31 07:42:38 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@write2dylan I agree. I think it is actually his finest ever."
"3654590549","","","","","2009-08-30 23:43:06 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Really enjoying Calexico as well as watching the waves of people jumping the 2 lines of fences to break in. Security sure is out of shape..."
"3653546526","","","","","2009-08-30 22:41:06 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Outside Lands day 3 shaping up nicely. Great seeing Atmosphere for the second time. Can now hear the hot chocolate stand calling my name...."
"3639626748","","","","","2009-08-30 04:42:32 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","The verdict is in. Hot chocolate is crucial."
"3617122395","","","","","2009-08-29 02:19:36 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","At Outside Lands. As usual, AT&T sucks when more than 3 people are together."
"3611894738","","","","","2009-08-28 21:35:58 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Enjoying Snow Leopard."
"3563390664","","","","","2009-08-26 20:06:10 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Playing the Go Game with co-workers in San Mateo. Go Team Hug Me!"
"3515701109","3486555703","14268428","","","2009-08-24 16:46:01 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@tomeckles those are terms used in horse race betting. They mean things like picking the 1st and 2nd horse, 1st 2nd and 3rd, etc."
"3479717143","","","","","2009-08-22 21:53:54 +0000","<a href=""http://twitpic.com/"" rel=""nofollow"">TwitPic</a>","http://twitpic.com/ewjn5 - Betting on Exactas, Quinellas and Trifectas at the Del Mar pony track."
"3442860588","3442630234","10200322","","","2009-08-21 03:57:26 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@amdavidson and an awesome car at that! I love driving by the Tesla showroom everyday going to work."
"3410928947","","","","","2009-08-19 19:10:30 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Uploaded pictures from my sister's graduation party where I roasted a pig and served a beer I brewed: http://bit.ly/ke6MR"
"3358034371","","","","","2009-08-17 07:19:41 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Playing around with Google App Engine. Everything it gives you is nice, but not sure about the long-term platform tie-in. Thoughts?"
"3327063144","","","","","2009-08-15 11:56:54 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Up early for a triathlon!"
"3257393090","","","","","2009-08-12 02:22:18 +0000","<a href=""http://twitpic.com/"" rel=""nofollow"">TwitPic</a>","http://twitpic.com/dkkl3 - We've got better seats tonight. BEAT LA!!"
"3238182233","","","","","2009-08-11 02:51:29 +0000","<a href=""http://twitpic.com/"" rel=""nofollow"">TwitPic</a>","http://twitpic.com/dgrvi - At the Giants / Dodger game. BEAT LA!"
"3200206645","","","","","2009-08-09 00:51:44 +0000","<a href=""http://twitpic.com/"" rel=""nofollow"">TwitPic</a>","http://twitpic.com/d82bf - Watching the Earthquakes play the Columbus Crew"
"3196950065","","","","","2009-08-08 19:52:37 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Brew day and futbol. Brewing an Anchor Steam and some Root Beer before heading to the 'stick tonight to watch Barca vs. Chivas."
"3184069907","","","","","2009-08-07 21:52:55 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Completed my first muscle up! Celebrating with blackberry pie."
"3173313993","","","","","2009-08-07 02:56:51 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Making blackberry pies."
"3167352755","","","","","2009-08-06 18:13:01 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Starting to plan my next trip... Venezuela and South America, 2010."
"3126942794","","","","","2009-08-04 16:27:35 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @teamziller: Kings schedule posted http://sbnation.com/e/740915"
"3074459714","","","","","2009-08-01 19:29:44 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Beautiful day golfing in Santa Rosa with @joedrisc and fam at the Rocky Moon. Blending margaritas with a power drill, as usual."
