"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"4397823933","","","","","2009-09-26 17:31:51 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Brewcrew Walking http://flic.kr/p/72BrCS"
"4388269000","4387886489","49307535","","","2009-09-26 05:47:29 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@darinr2 or Linux!"
"4388261276","4384586559","28433635","","","2009-09-26 05:46:59 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@jcarlpayne cheers!"
"4388256165","4383530552","22455863","","","2009-09-26 05:46:37 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@waapblog 4 years is way too long."
"4377082090","","","","","2009-09-25 20:16:02 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Blue Screen of Death at the Denver airport:  http://yfrog.com/3z1lcj"
"4362123962","","","","","2009-09-25 05:42:42 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","In Denver all weekend at the Great American Beer Festival volunteering to pour for breweries from the Southwest and Pacific Northwest!"
"4126913847","","","","","2009-09-20 17:08:31 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","#6"
"4037997626","4034229457","10200322","","","2009-09-16 20:52:20 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@amdavidson yeah, I feel Pandora is better for finding obscure hip-hop I enjoy. Though Last.fm doesn't have listening length limits..."
"4029758730","","","","","2009-09-16 14:13:27 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @teamziller: RT @jeskeets San Fransisco pub owner chides tagger/Lakers fan with taunting letter ? http://bit.ly/gFSmk"
"4023408325","4022845045","10200322","","","2009-09-16 05:27:13 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@amdavidson I feel like I find more obscure stuff on Pandora than Last.fm. On Pandora, I hear more artists and songs I've never heard before"
"4018925405","","","","","2009-09-16 01:27:35 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Really enjoying my hip hop Pandora station - http://bit.ly/2zjCTn Also, PandoraJam for Mac is pretty awesome (downloads, LastFM scrobbling)"
"3973767542","","","","","2009-09-14 04:43:22 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","#8 - http://bit.ly/nr6JN"
"3966293631","","","","","2009-09-14 00:49:48 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Rain!"
"3958922314","","","","","2009-09-13 18:14:56 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Woke up way too early for how late I got home."
"3950158134","3946064572","10200322","","","2009-09-13 06:05:30 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","@amdavidson you doing just an open water cert? I want to plan a trip to Monterey to dive this fall if you're interested"
"3936286538","3936267919","33719904","","","2009-09-12 16:25:42 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@blannamae me too! I want thunder and lightning also though!"
"3923856680","","","","","2009-09-12 00:51:04 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Heading to the Giants game and sitting in the bleachers hoping for a fight. Oh, and Beat LA!"
"3900610903","","","","","2009-09-11 00:48:06 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Climbing at Planet Granite."
"3868568019","3868276187","814274","","","2009-09-09 18:31:14 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@beornlake same here!"
"3845673914","","","","","2009-09-08 18:42:52 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","#10"
"3787372523","","","","","2009-09-05 22:53:45 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Go Bears!"
"3784643933","","","","","2009-09-05 19:57:57 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Put a check in the box next to 20k. Next checkbox, San Jose R&R Half in October."
"3733685132","","","","","2009-09-03 13:45:14 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","First to the office!"
"3719658616","3718857490","15793108","","","2009-09-02 21:45:41 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@rohitnafday no issues here so far. I haven't done any playing with my macports install since the upgrade though. That slightly worries me."
