"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"5318998313","","","","","2009-10-31 18:00:59 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Superdog at CrossFit http://flic.kr/p/7bQFka"
"5195178792","","","","","2009-10-27 06:55:17 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","BYOP carving photos http://bit.ly/1KoayH and my contribution: http://flic.kr/p/7aQgyy"
"5131673302","","","","","2009-10-24 21:23:11 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Lots of cougars wearing shirts with WSU Cougar on the front. They are no longer being subtle. Not that cougars are known for being subtle."
"5130926078","","","","","2009-10-24 20:44:13 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Beautiful California day. For the weather and Bears football. Go Bears!"
"5057511945","","","","","2009-10-22 01:09:11 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @flickr: It's you! In that photo! People in Photos launches http://bit.ly/12QwBZ"
"4892214022","","","","","2009-10-15 16:19:28 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Bass Pro Shops just blew my mind and changed my life."
"4850024763","","14789629","","","2009-10-14 01:06:33 +0000","<a href=""http://twitpic.com/"" rel=""nofollow"">TwitPic</a>","@googleio http://twitpic.com/lfpbx - 7500 cupcakes."
"4827088786","","","","","2009-10-13 04:09:55 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Just bought my college student Alpine Meadows season pass to go with my Truckee cabin. Bring on the snow!"
"4827073782","4826934050","15793108","","","2009-10-13 04:09:06 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","@rohitnafday And that is different from the commenters on your blog? I seem to remember a post from several years back http://bit.ly/2fDN6u"
"4823587542","","","","","2009-10-13 01:36:11 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Has a house in Truckee from January 4 to May 4th. Guests are welcome. Purchasing a season ticket to Alpine to come shortly."
"4712877247","","","","","2009-10-08 17:37:01 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Swing, to Goth music: http://bit.ly/29TBS1"
"4701831401","","","","","2009-10-08 04:39:55 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Going bold, and then going home."
"4635599919","","","","","2009-10-05 19:33:46 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @atcal: Cal grad and former Cal professor win Nobel Prize in Medicine http://bit.ly/Tm6Jb #atcal"
"4607763596","","","","","2009-10-04 18:03:35 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Looks like the PBRs paid off! 7:56 min miles for 13.1 miles - 1:44:16. New distance PR."
"4603297977","","","","","2009-10-04 14:15:36 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Running my first half marathon this morning. Hopefully my decision to hydrate yesterday with PBR and Blue Moon doesn't backfire."
"4570567289","","","","","2009-10-03 03:02:17 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Cheering on @deaneckles at the Palo Alto Moonlight 10k run. Beautiful night for the event."
"4563171030","","","","","2009-10-02 21:04:45 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Working from home, in my backyard, in the nice sunshine. Only yesterday I thought it was fall. Wait, did that leaf just hit my keyboard?"
"4531366260","","","","","2009-10-01 18:35:42 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","RT @gabf: http://bit.ly/QvpXf #gabf Great American Beer Festival setup-to-takedown-7 days in 1 minute time lapse video"
"4527128434","","","","","2009-10-01 15:31:51 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","How do I know it is fall? When the 10 minute scooter ride to work makes my hands numb. In other news, I discovered I can do a 2inch wheelie."
