"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"19706721363","","68867011","","","2010-07-28 02:44:17 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">Twitter for Android</a>","@curryupnow is the shit. So delicious!"
"19586911283","","","19586564396","110458336","2010-07-26 16:44:05 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @CNNshowbiz: Wyclef Jean considering running for president of Haiti http://on.cnn.com/aw8o42"
"19585748631","19543839226","814274","","","2010-07-26 16:26:24 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@beornlake Check out the BBC's Life series. It is just as awesome."
"19382781496","19304185369","15668311","","","2010-07-24 01:09:55 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@mattborn  What style?"
"19298597949","","","19298525279","32765534","2010-07-23 01:08:35 +0000","web","RT @sportsguy33: Kahhhhhhhhhhhhn!!!!!!!!!!! http://tinyurl.com/275jkch RT @JDLang31 Your favorite GM called C-Webb a schmuck and used th ..."
"18887354976","18757065475","10200322","","","2010-07-19 03:46:38 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@amdavidson great! I definitely want to dive when I'm there and put my cert to use. Thanks for the tip!"
"18746636638","","","","","2010-07-17 05:57:51 +0000","web","Ticket to Bali purchased. Leaving in two months!"
"18625531229","18625375933","33719904","","","2010-07-15 19:24:46 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@blannamae Great icing!"
"18126311665","","","","","2010-07-09 15:26:08 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Who writes a ""scathing letter"" in comic sans? http://bit.ly/9SyBki"
"18126296022","18099699478","49887122","","","2010-07-09 15:25:55 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@kazuomatsu the first new episode was last week."
"18064973933","","","17991771870","21865953","2010-07-08 21:45:51 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @teamziller: Attention LeBron: the Kings can now pay you the max. Care to reschedule your announcement?"
"17915486033","17754669431","10200322","","","2010-07-07 02:36:15 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@amdavidson @beornlake I think froyo is just fine, especially when referring to the code-name of the super awesome version of Android."
"17685209902","","","","","2010-07-04 00:13:08 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","Bend, OR (@ Bend Brewing Company) http://4sq.com/8x4UVO"
"17575366443","","","","","2010-07-02 14:17:42 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Rooting for the country I've been to... Brasil! Goal!!"
"17509693711","","","17505807672","115485051","2010-07-01 17:49:54 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @ConanOBrien: I don't care where LeBron James ends up... As long as it's not at 11pm on TBS."
"17509405494","17509040675","43171338","","","2010-07-01 17:45:18 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@schyule oh, eat lots of ice cream for sure. Though these days, that seems to be the answer for most anything..."
